PAINEL DE STATUS DA FROTA;;;;;;;;
Cavalo;Prancha;Motorista;Localização;Destino;Status;Km rodado;Cliente;Observação
CVM-001;PB-001;Danilo Almeida;Linhares/ES;Teresina/PI;Carregado;152km;;2.067km do destino
CVM-002;PB-002;Edmilson Ferreira;Sumaré/SP;;Ag. Gestor;0km;;Aguardando direcionamento do gestor
CVM-003;PB-003;Josevaldo José;Linhares/ES;Teresina/PI | Imperatriz/MA;Carregado;152km;;2.747km do destino
CVM-004;PB-004;Manoel Nilo;Pouso Alegre/MG;;Ag. Gestor;0km;;Aguardando direcionamento do gestor
